CVE_AGEB,NOM_MUN,VIVPAR_DES,VIVTOT,TVIVPAR,VIVPAR_HAB,VPH_PISOTI,VPH_NODREN,VPH_S_ELEC,VPH_SNBIEN,VPH_1CUART,VPH_LETR,PRO_OCUP_C,VPH_INTER,VPH_AUTOM,VPH_PC,VPH_REFRI,GRAPROES,n_bancos,n_cafes,n_inmobiliarias,n_empenos,n_usados,n_yonques
2605500013154,San Luis Río Colorado,28.0,176,163.0,123.0,10.0,4.0,,,21.0,7.0,1.46,38.0,105.0,24.0,125.0,8.24,0,0,0,0,0,0
2605500013169,San Luis Río Colorado,37.0,239,224.0,174.0,13.0,11.0,3.0,,25.0,16.0,1.45,43.0,121.0,42.0,167.0,8.7,0,0,0,0,0,0
2605500013173,San Luis Río Colorado,36.0,252,235.0,180.0,20.0,30.0,8.0,3.0,31.0,27.0,1.43,98.0,144.0,45.0,170.0,8.35,0,0,0,0,0,0
2605500013188,San Luis Río Colorado,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013192,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013281,San Luis Río Colorado,23.0,469,464.0,432.0,,,12.0,6.0,,0.0,1.06,253.0,289.0,119.0,397.0,8.97,0,0,0,0,0,0
2605500013296,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013309,San Luis Río Colorado,30.0,359,330.0,284.0,,0.0,8.0,3.0,10.0,0.0,1.28,177.0,203.0,79.0,279.0,8.98,0,0,0,0,0,0
2605500013313,San Luis Río Colorado,19.0,95,88.0,60.0,19.0,18.0,19.0,,29.0,13.0,1.9,6.0,39.0,9.0,38.0,7.4,0,0,0,0,0,0
2605500013328,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013332,San Luis Río Colorado,,3,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500013347,San Luis Río Colorado,9.0,49,49.0,38.0,,,0.0,,7.0,3.0,1.38,,27.0,3.0,35.0,8.27,0,0,0,0,0,0
2605500013351,San Luis Río Colorado,4.0,11,11.0,7.0,,,0.0,0.0,,0.0,1.15,,4.0,0.0,7.0,8.25,0,0,0,0,0,0
2605500013366,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013370,San Luis Río Colorado,0.0,4,3.0,,,,0.0,0.0,,,2.4,,,0.0,3.0,8.17,0,0,0,0,0,0
2605500013385,San Luis Río Colorado,0.0,4,3.0,3.0,,,0.0,0.0,,,1.13,,,0.0,3.0,8.0,0,0,0,0,0,0
260550001339A,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013402,San Luis Río Colorado,,5,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,3.0,4.0,,4.0,9.67,0,0,0,0,0,0
2605500013417,San Luis Río Colorado,,1,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500013421,San Luis Río Colorado,64.0,363,344.0,269.0,,0.0,0.0,0.0,32.0,0.0,1.25,213.0,249.0,161.0,287.0,10.82,0,0,0,0,0,0
2605500013455,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
260550001346A,San Luis Río Colorado,0.0,8,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,,4.0,0.0,6.0,8.13,0,0,0,0,0,0
2605500013474,San Luis Río Colorado,44.0,132,130.0,80.0,11.0,16.0,13.0,6.0,20.0,15.0,1.37,,51.0,,64.0,7.52,0,0,0,0,0,0
2605500013489,San Luis Río Colorado,5.0,32,32.0,24.0,,3.0,,3.0,6.0,,1.14,0.0,14.0,0.0,19.0,7.64,0,0,0,0,0,0
2605500013493,San Luis Río Colorado,24.0,56,56.0,28.0,,4.0,,,,,1.1,,14.0,,24.0,8.26,0,0,0,0,0,0
2605500013506,San Luis Río Colorado,8.0,37,37.0,25.0,0.0,0.0,10.0,0.0,,,1.43,,8.0,,11.0,7.57,0,0,0,0,0,0
2605500013614,San Luis Río Colorado,37.0,227,220.0,174.0,32.0,4.0,10.0,11.0,45.0,27.0,1.67,25.0,122.0,16.0,152.0,7.68,0,0,0,0,0,0
2605500013629,San Luis Río Colorado,11.0,22,22.0,10.0,,5.0,3.0,4.0,4.0,0.0,1.5,,4.0,,6.0,7.09,0,0,0,0,0,0
2605500013633,San Luis Río Colorado,61.0,141,141.0,76.0,13.0,27.0,25.0,6.0,28.0,25.0,1.85,,40.0,5.0,48.0,7.77,0,1,0,0,0,0
2605500013648,San Luis Río Colorado,18.0,129,115.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,70.0,82.0,32.0,102.0,9.67,0,0,0,0,0,0
2605500013652,San Luis Río Colorado,57.0,589,557.0,474.0,,0.0,5.0,,3.0,0.0,1.25,284.0,369.0,136.0,486.0,9.28,0,0,0,0,0,0
2605500013667,San Luis Río Colorado,,1,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500013671,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
2605500013686,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013690,San Luis Río Colorado,0.0,26,22.0,22.0,0.0,0.0,4.0,,0.0,0.0,1.23,14.0,18.0,7.0,24.0,9.51,0,0,0,0,0,0
2605500013703,San Luis Río Colorado,,4,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500013718,San Luis Río Colorado,0.0,5,5.0,3.0,,,,0.0,,0.0,1.0,0.0,0.0,0.0,,9.8,0,0,0,0,0,0
2605500013722,San Luis Río Colorado,0.0,7,7.0,7.0,,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,5.36,0,0,0,0,0,0
2605500013737,San Luis Río Colorado,13.0,65,65.0,51.0,12.0,0.0,4.0,,17.0,9.0,1.46,8.0,35.0,3.0,44.0,7.58,0,0,0,0,0,0
2605500013741,San Luis Río Colorado,5.0,19,19.0,13.0,6.0,3.0,9.0,5.0,9.0,4.0,1.38,0.0,3.0,0.0,,5.8,0,0,0,0,0,0
2605500013756,San Luis Río Colorado,,7,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500013760,San Luis Río Colorado,,5,5.0,4.0,3.0,4.0,3.0,,3.0,4.0,0.8,0.0,0.0,0.0,,5.25,0,0,0,0,0,0
2605500013775,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
260550001378A,San Luis Río Colorado,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013794,San Luis Río Colorado,,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013807,San Luis Río Colorado,,1,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500013811,San Luis Río Colorado,,4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500013883,San Luis Río Colorado,12.0,39,38.0,26.0,6.0,3.0,16.0,7.0,13.0,9.0,1.7,,14.0,,8.0,6.69,0,0,0,0,0,0
2605500013898,San Luis Río Colorado,,15,15.0,13.0,9.0,0.0,9.0,4.0,9.0,7.0,1.73,0.0,4.0,0.0,3.0,5.68,0,0,0,0,0,0
2605500013900,San Luis Río Colorado,27.0,48,48.0,18.0,6.0,10.0,5.0,,3.0,10.0,1.5,,12.0,,10.0,7.2,0,0,0,0,0,0
2605500013915,San Luis Río Colorado,,25,24.0,23.0,7.0,9.0,4.0,,8.0,6.0,1.56,4.0,13.0,,15.0,8.06,0,0,0,0,0,0
2605500112461,San Luis Río Colorado,62.0,384,382.0,234.0,5.0,5.0,5.0,,12.0,11.0,1.07,86.0,159.0,55.0,205.0,8.69,0,2,0,0,0,0
2605500112476,San Luis Río Colorado,24.0,340,337.0,227.0,7.0,20.0,3.0,3.0,22.0,23.0,1.04,92.0,147.0,72.0,200.0,8.48,1,1,0,0,0,0
2605500112480,San Luis Río Colorado,60.0,376,375.0,194.0,11.0,23.0,5.0,,28.0,28.0,1.25,39.0,139.0,39.0,165.0,8.33,0,0,0,0,0,0
2605500112495,San Luis Río Colorado,56.0,307,306.0,165.0,,0.0,3.0,6.0,16.0,14.0,0.94,63.0,107.0,53.0,139.0,8.04,2,0,0,0,0,0
2605500112762,San Luis Río Colorado,,7,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,,3.0,8.71,0,0,0,0,0,0
2605500112777,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500112781,San Luis Río Colorado,7.0,27,27.0,19.0,,4.0,0.0,0.0,0.0,,1.3,,14.0,,18.0,7.98,0,0,0,0,0,0
2605500112796,San Luis Río Colorado,14.0,66,65.0,42.0,4.0,4.0,0.0,,8.0,4.0,1.43,8.0,25.0,5.0,30.0,8.58,0,0,0,0,0,0
2605500112809,San Luis Río Colorado,,23,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500112813,San Luis Río Colorado,10.0,43,43.0,25.0,3.0,,,,3.0,4.0,1.27,8.0,17.0,4.0,19.0,8.6,0,0,0,0,0,0
2605500112832,San Luis Río Colorado,4.0,22,22.0,17.0,0.0,,0.0,0.0,0.0,3.0,1.41,4.0,8.0,5.0,16.0,7.34,0,0,0,0,0,0
2605500112851,San Luis Río Colorado,,5,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500112866,San Luis Río Colorado,,9,9.0,6.0,,3.0,0.0,0.0,,3.0,2.23,0.0,,0.0,3.0,7.47,0,0,0,0,0,0
2605500112870,San Luis Río Colorado,,8,8.0,6.0,0.0,0.0,0.0,0.0,,,1.0,,4.0,,5.0,8.24,0,0,0,0,0,0
2605500113008,San Luis Río Colorado,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500113012,San Luis Río Colorado,,26,26.0,19.0,,,0.0,0.0,,,1.53,4.0,13.0,3.0,18.0,8.8,0,0,0,0,0,0
2605500113027,San Luis Río Colorado,,6,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500113031,San Luis Río Colorado,,13,,,,,,,,,,,,,,,0,0,0,0,0,0
2605500113050,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500113224,San Luis Río Colorado,5.0,28,28.0,17.0,0.0,,,0.0,,0.0,1.36,3.0,11.0,3.0,11.0,9.31,0,0,0,0,0,0
2605500113239,San Luis Río Colorado,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2605500113243,San Luis Río Colorado,21.0,123,123.0,81.0,9.0,5.0,,,4.0,10.0,1.35,17.0,53.0,5.0,67.0,8.54,0,0,0,0,0,0
